reviewid,storeid,searchid,reviewidx,reviewtxt
95_1_11,95_1,95,11,"우와.. 들어오자마자 감탄사 연발
여기가 카페가 아니라 수족관이네요
아쿠아리움 온 줄 알았어요.
사장님이 돈 버셔서 지역사회에 환원하려고 만드신 곳 같아요!
음식도 고퀄이에요. 샐러드 재료 신선하고 돈까스 두께 어쩔?!
오늘은 평일 30퍼센트 할인해서 개꿀~~~
내일까지라 내일 또 올거에요."
95_1_12,95_1,95,12,"30개월 아기가 물고기를 좋아해서
수족관엔 몇 번 갔었는데
이번 주는 방학기간이라 붐빌 거 같아서
물고기 카페 #아쿠아가든 와봤어요.

근데 진짜 탁월한 선택이네요!
아기랑 관람하기엔 더 좋아요~
앉아서 볼 수도 있고 간식도 먹을 수 있고
아기가 엄청 즐거워해서 좋은 시간 보냈습니다!
추천해요!!!!!

#Aquagarden_ilsan #아쿠아가든일산점"
95_1_13,95_1,95,13,"⭐내돈내산 일산 #아쿠아가든 아이와 방문 후기⭐
아이와 함께 #일산아쿠아가든 에 다녀왔어요! 🐠🐟
수조 속 다양한 물고기들 보며 시간 가는 줄 몰랐네요. 🤩
귀여운 테디 케이크랑 음료, 빵까지 먹으니 완벽! 🍰🍹🥐
평일 30% 할인 이벤트도 있어서 알뜰하게 즐겼어요. 아이도 너무 좋아해서 대만족입니다! 👍 #가족나들이 #아이와갈만한곳 #물고기카페 #베이커리카페"
95_1_14,95_1,95,14,"일산아쿠아가든 두 번째 방문이에요. 오늘은 부모님까지 모시고 왔는데 넘 좋아하시네요. 시간이 잘 맞아서 대형 물고기 먹이 주는 것도 잘 구경했어요. 매장, 화장실 깔끔 등 편의시설도 잘 되어있어서 아이, 부모님과 방문 추천 합니다! 굿굿 :)"
95_1_15,95_1,95,15,"아쿠아가든 일산점 새로 생긴 이후로 아이가 좋아서 재방문했어요. 거북이도 있고 상어부터해서 다양한 물고기들이 있어서 너무 좋아요.
먹이체험 너무 좋아한답니다. 베이커리 맛나요.

#아쿠아가든, # Aquagarden_ilsan, #아쿠아가든일산점"
95_1_16,95_1,95,16,"아쿠아가든 일산점 처음 방문했어요!
총 3층으로 되어있는데 1층에서 음료가지고 2층이나 3층 좌석에 앉으면 되는데 주말 오후 5시쯤 방문해서 그런지 자리는 여유 있었어요🥰
아이와 함께여서 먹이주기체험도 함께했는데 중간에 닥터피쉬도 있고해서 즐거운 시간보냈어요🫡
음료는 가격대가 있긴하지만 맛있었고 멍때리고 수족관을 보니까 힐링도 되고 좋아요.
흔하게 보긴 어려운 물고기들이 있어서 어른들도 신기하게 구경했답니다.
혹시 여름방학기간동안 실외는 더워서 어디갈지 고민되신다면 추천하고 싶어요.😉
아마도 저희 가족은 재방문 할듯합니다ㅋㅋ
아! 여긴 생물 판매는 안한다고해서 그건 아쉬웠어요ㅜㅜ🤔"
95_1_17,95_1,95,17,"일산 아쿠아가든 너무 좋았어요! 아쿠아리움 구경하면서 애기도 잘 먹고, 분위기도 편안하고 좋았어요. 힐링되는 곳이에요! 다시 꼭 와보고 싶은 곳이구요. 물고기 가재 보면서 음식먹으며 음료마시며 힐링하기 좋은곳입니다."
95_1_18,95_1,95,18,"아기와 함께가기 정말 좋아요👍 다양한 물고기들도 있고 먹이주기 체험도 할 수 있어 아이들이 좋아해요. 음료나 빵은 저렴한편은 아니지만 입장료가 없는 것을 감안하면 전체적으로 합리적인 가격인거 같아요! 매장이나 화장실도 전체적으로 깔끔해서 잘 관리되고 있는 것 같아요.
어린 아기부터 초등학생까지 아이들과 함께 시간보낼 곳으로 강추합니다😄"
95_1_19,95_1,95,19,"기흥점만 가봤고 아쿠아가든 일산점은 처음인데 오픈한지 얼마안되서 그런지, 정말 깨끗하네요 ! 화장실도 깨끗하고 세면대에 발판 있는것도 너무 좋았어요 :) 닥터피쉬 물도 역대급으로 깨끗하네요 ! 아기가 체험했는데 비린내도 안났어요 👍
#아쿠아가든 #아쿠아가든일산점
#aquagarden_ilsan"
95_1_20,95_1,95,20,동생이 대형 아쿠아리움 와보고 싶다고 해서 왔는데 진짜 다양한 어종들이 많아서 너무 좋고! 음료가 비싼듯했지만 입장료 대신해서 받는거면 적당한 거 같아요!! 그리고 음식 먹어도 입장료 대신이 가능해서 점심 겸 구경 겸 할 수 있어서 좋았어요~ 직원분들도 너무 친절하십니다!! ☺️
95_1_21,95_1,95,21,비오고 더운 날 아이와 시간 보내기 딱 좋은 가든이에요. 물고기도 많고 커피와 디저트도 다양해서 어른들도 좋아합니다. 볼거리가 너무 많고 아무 데서나 사진 찍어도 정말 예술입니다. 다음에 또 올게요🤩🤩
95_1_22,95_1,95,22,아이들돠 2번째 방문한 아쿠아가든^^ 드디어 다시 방문 ㅋㅋ 방학을 핑계삼아 온곳~~~ 지난번 주말방문때는 너무 사람이 많아 제대로 보지 못했는데 평일 방문하니 조금은 한적하게 아이들도 세세하게 볼수 있어 넘너 좋음.. 그리고 직원분들의 먹이주기 체험까지 따라다니며 특별한 체험까지 ^^ 상어가 가방 인상에 남음 ㅎㅎ 또 다시 빙문예정~~~
95_1_23,95_1,95,23,"와우
더운 날. 아이와 나들이 수영말고 편안한 쉼같고 아이에겐 호기심을 유발할 수 있는곳을 찾다 발길이 닿은곳
넓은 주차장에 그리고 큰 건물에 조금 놀라고
먹거리도 많고. 예쁜의자도 맘에들었어요
아이들도 너무 좋아하고
또 냄새가 하나도 나지않았어요"
95_1_24,95_1,95,24,"처음 방문했는데 정말 넓고 수족관이 깨끗해요 음식도 맛있고 물고기랑 거북이 가재 등등 볼게 다양해서 아기가 정말좋아하네요 먹이주기도 있어서 재미있어요 자주올것 같습니다 자리도 많아요
#아쿠아가든#aquagarden_lisan#아쿠아가든일산점"
95_1_25,95_1,95,25,"카페 규모가 정말 큰데 이 많은 수족관 하나하나 관리잘된채로 잘 꾸며져있어서 구경하기도 사진찍기도 좋았어요. 당연히 인테리어가 메인이고 음식들은 그저그럴 줄 알았는데 음식 음료 디저트 플레이팅 맛 뭐하나 빠지지 않아서 너무 놀라웠어요😍
수족관마다 큐알로 물고기들 설명 읽어볼 수 있는 디테일까지 정말 좋은것같아요"
95_1_26,95_1,95,26,"빵,디저트 다 맛있어요. 음료가 좀 비싸긴하지만 입장료, 주차비가 없으니 그런거 생각하면 괜찮은 편입니다.
아쿠아카페라 물고기들 많고 인테리어가 너무 멋져요.시원하고 구경하기 넘 좋습니다. ^^"
95_1_27,95_1,95,27,이런 공간에 어떻게 습하지 않고 쾌적하게 유지될 수 있는지 신기해요! 음료 가격대가 있지만 들어와서 보니 정말 입장료라고 생각하면 전혀 아쉽지 않고 음료 맛도 좋았어요. 아이랑 왔더니 먹이주기 체험 엄청 좋아하네요 ㅎㅎ
95_1_28,95_1,95,28,"아이가 물고기를 좋아해서 친정부모님 모시고 함께 다녀왔습니다 ~ 1층에서 음료를 주문하고 받아서 2층으로 ~ 2층~3층 다양한 물고기들을 보며 관찰도 하고 특히 커다란 가오리 수족관이 인상 깊었네요
아이가 가오리 보더니 우와~ 넘 좋아하네요~ 다음에 재방문을 해야겠어요~ 음식도 다양해서 담엔 음식도 함께 주문해야겠어요 ~"
95_1_29,95_1,95,29,"물고기를 키우시고 파스타를 좋아하시는 엄마랑 다녀왔습니다! 지금 평일 이벤트 중이라 전 메뉴 30% 할인중이라 가성비도 너~무 좋아요!! 음식도 너무 괜찮고 평일에 오니까 사람도 적어서 너무 행복해용...❤️🍝 특히 엄마가 이런곳 데려와줘서 너무 고맙고 행복하다 하셔서 뿌듯했답니다,,,🥰♥️"
95_1_30,95_1,95,30,"주차장이 넓고 실내가 쾌적하고 넓어요♡
아이가 물고기들 구경하며 매우 재미있어 했습니다^^
닥터피쉬도 재미있게 체험했어요!
기차역 일산역 근처라 대중교통 이용하시기도 불편하지 않을 것 같습니다
피자 파스타 떡볶이 등 식사 가능한 메뉴들도 있어 끼니를 해결하며 구경하기에도 좋아요^^"
95_2_1,95_2,95,1,"명장텐에는 수요일마다 이벤트가 있다
한번은 식빵 50%할인, 한번은 30%할인쿠폰
몰랐을때는 빵 사는 곳이 한정적이었는데
가끔 이런 이벤트를 챙기며 다른 빵도
먹어보니까 좋다.
오전에 오니까 빵이 가득해서 좋고
빵 좋아하는 사람들이 참 많구나 느끼게 된다"
95_2_2,95_2,95,2,"점심밥먹고 부모님 모시고 왔는데, 더티트렁크 축소한것 같아.보이네요. 소금빵도 맛있어요.
자*도 소금빵 보다 소금빵이 덜 짜고 더 맛있는것 같아요.
이야기 하기도 편하고 주차도 괜찮았습니다.
몰리면 주차대기가 있을것 같아요."
95_2_3,95_2,95,3,"1988년에 제과에 입문해서 2009년 세계제빵
대회 국가대표로 나가기까지 20년, 2014년
대한민국 제과명장 타이틀을 받기까지 26년
명장텐을 2020년 오픈, 참 대단하다
소금빠, 크림빵 가격은 착하지만 그밖의 빵은
단가가 있다. 오늘의 선택은 소금빵과 바삭
호두파이, 초코리본 파이, 이렇게 9500원
다음엔 9000원짜리 자몽 오렌지 타르트나
천사의 유혹 카스테라를 먹어봐야겠다
빵이랑 먹어서 커피가 맛있는지, 맛있는 빵집은
커피도 맛있는지, 커피도 맛있다
오늘 먹은 것 중에 초코리본 파이를 강추하고
싶다. 정말 다른 말 필요없이 맛있다"
95_2_4,95_2,95,4,"빵을 8만원어치 샀어요
매장에서 먹고 맛있어서 추가로 더 구매했어요
제 입에는 루꼴라베이글, 명란바게트 최고 입니다
소금빵 맛집도 맞아요!!
다음에 또 올게요!!
그리고 주차 복잡하다고 했는데 저는 운이 좋았나봐요 ㅎㅎ
편하게 주차하고 정산하고 나왔어요~"
95_2_5,95_2,95,5,"아침부터 소금빵과 커피먹고싶어 명장텐~^^
아침일찍가도 빵종류가 엄청 많아서좋고 너무맛있어서 달콤한유혹이 장난아닌곳ㅋㅋ 홀린듯이 이것저것 집었던날
역시 빵은진리"
95_2_6,95_2,95,6,"근처에 밥 먹으러 왔다가 소금빵이 생각이 나서 포장해가려고 들렀어요
포장해서 집에 가서 먹으려다가 따뜻할 때 먹고 싶어서 바로 열어서 먹었답니다!
역시 고양시 근처에서는 제일 맛있는 소금빵집인 것 같아요 👍🏻
소보루빵도 땅콩 맛 나는 건 별로 안 좋아하는데 명장텐은 보슬보슬 쿠키맛만 가득해서 너무 좋아한답니다
오늘도 만족하고 나온 명장텐입니다 🙂"
95_2_7,95_2,95,7,소금빵도 좋아하고 바게트 샌드위치도 좋아해서 오늘 오프인 간호사 조카랑 왔어요. 음료도 맛있고 대화하기 좋은곳이예요. 요즘 명장텐에 사람이 많아 주차하기가 힘드네요.
95_2_8,95_2,95,8,"국가에서 인정한 명장이 운영하는 빵집이라고 해서 궁금해서 방문했어요!!! 오후에 가니까 빵이 벌써 많이 빠지고 별로 없더라구요. 가벼운 마음으로 간거고 배도 부르고 해서 바질토마토 빵 하나만 사와서 먹어봤는데 진짜 너무 맛있어서 다음에 아침 일찍 또 가려구요!!
렌지에 살짝 돌려먹으니까 폭신한 빵의 질감도 살고 속에 크림치즈가 살살 녹으면서 너무 맛있었어요..ㅠㅜㅜ
그리고 공간이 너무 멋지게 구성되어있더라구요 1층 2층 나누어져 있는데 생각보다 엄청 넓었어요! 답답한 느낌 하나도 없이 시원시원하고, 계단식 좌석도 너무 예쁘고 식물들로 장식되어서 예쁘면서도 편안한 분위기였어요. 다음에는 매장에 좀 오래 앉아있다 가고싶네요~~"
95_2_9,95_2,95,9,"집 근처에 있는 곳인데 이제서야 와봤네요!!
비가 살짝 내려서 주차하고 유모차 내리고 애기 태우고 후딱 들어가려는데 여자 직원분께서 비오는데 이쪽으로 들어가실래요? 하시더라구요 직원분들만 다니는 통로가 있는 곳이었는데 세심한 배려에 너무 감사했습니다🙏👍 통로로 지나가면서 명장님으로 추측되는?ㅋㅋㅋㅋ분이 계셨는데 직원분이 비가 와서 안쪽길 안내해드렸다고 하니 명장님도 씨익 웃으시더라구요😊
빵도 종류가 어찌나 많던지 뭘 먹을까 고민하다 골랐는데 세가지 빵 모두모듀 제 스타일!!!
명장은 다르구나를 새삼 느꼈답니다~~~조카가 낼 생파해서 이따 저녁에는 케익사러 또 가려고 합니당🍰 아까 배려해주신 여자직원분께 너무 감사해서 일부러 리뷰도 남겨요 자주자주 가는 단골빵집이 될거같네용!!"
95_2_10,95_2,95,10,"소금빵이 너무 맛있어요.
살수 있는 만큼 최대로 많이 사세요.
후회없어요"
95_3_1,95_3,95,1,"가족들과 라페쪽에서 식사 후 방문했는데, 엄청 넓고 쾌적해서 좋았습니다. 좌석 진짜 많고 좌석마다 간격도 넓더라고요. 이후로도 이쪽으로 식사하러 가게되면 식사 후 다음코스로 여기 고려할 것 같아요."
95_3_2,95_3,95,2,"일요일 저녁에 방문했더니 사람들이 많이 빠지고 한산하네요.
스퀘어라떼는 일반 라떼보다 좀더 고소하고 맛있어요.
혼자 앉아 사색을 즐기다 갑니다.. 늦은 시간까지 운영해서 좋아요"
95_3_3,95_3,95,3,일산에 밤늦게까지 아늑하고 편안하게 있을 수 있는 곳… 안 없어지고 오래오래 있었으면 좋겠네요ㅠㅠ 이날은 빙수 먹었는데 말차빙수가 엄청 큰 그릇에 가득 나와서ㅋㅋㅋㅋㅋ 놀라서 사진도 못 찍었고 나중에는 먹느라 또 못찍었어욬ㅋㅋㅋㅋ 다시 빙수 먹으러 가고 싶네요!
95_3_4,95_3,95,4,"공부하기 좋아서 멀리서도 자주 와요!
오늘 스퀘어 라떼 주문을 했는데, 직원분이 잘못 계산하셔서 티로 나왔어요.
그래서 제가 다시 결제를 해야한다고 하더라구요.
근데 제가 잘못 나왔다고 했을때 음료 주시는 분도 사과를 안하시고, 잘못 결제하신 분도 사과를 안하시고, 결제하시는 분도 아무도 사과를 안하시네요?
그래서 왜 아무도 사과를 안하시냐고 했더니 결제하시는 분이 사과하시고 정작 옆에서 잘못하신분은 그 상황을 바라보기만 하셨구요.
그리고 분명 직원이 잘못한건데
왜 소비자가 다시 결제를 하는 번거로운 상황에 대해서 먼저 나서서 빠른 처리를 해주지 않는지, 사과를 요구해야 받을 수 있는 건지 모르겠습니다. 결제줄도 기다려야 했고 진동벨도 주려고 하셨어요.
직원교육을 다시 하셔야할거같아요 사장님"
95_3_5,95_3,95,5,넓고 쾌적한 분위기가 마음에 들어요
95_3_6,95_3,95,6,넓고 시원해요 조아요
95_3_7,95_3,95,7,"평일에도 사람들이 많네요.
공부하기 좋은 좌석은
몇시에 와야 앉을 수 있는지. 😅

그래도 오늘은
에어컨바람 차갑지 않아서 좋아요."
95_3_8,95_3,95,8,"일산 주엽동에 위치한 대형 카페입니다.
도심 속에 이런 큰 카페가 있다는 것이 신기하네요.
커피 향과 맛이 제 취향에 맞고 공간이 넓어 답답함이
없어 정말 좋습니다. 곳곳에 진열된 그림도 인상적이고,
스터디 카페처럼 개별 공간이 비치된 것도 똑툭합니다.
혼자 와서 공부하거나 독서 하기에도 적당한 공간이
별도로 있어 다음에는 조용히 책 읽으러 오고 싶습니다.
일주일을 시작하는 월요일에 지인분과 함께 한적한
대화 나누며 여유롭게 업무 보고 갑니다."
95_3_9,95_3,95,9,"지인들 모두 만족해하는 카페
아줌마들 눈치안보고 하하호호 수다떨기 조음"
95_3_10,95_3,95,10,"김치베이컨필라프 일명 김치복음밥.맛없으면 절대 안먹는 초딩입맛께서 남김없이 삭삭 긁어먹었고 딸기케익또한 접시에 묻은 생크림마저 아쉽다는 듯 포크로 박박 긁었습니다 ㅇㅖ쁜 스콘에 눈이 가 포장해왔는데 잼이 얹어져 있어 달콤하게 먹었습니다
인테리어도 멋지고 음악은 나의 스마트폰일상에 방해주지않을만큼 흐르고 자리도 두 시간 정도 머무르기에 더할 나위 없이 편안했습니다"
95_3_11,95_3,95,11,셋이가서 십만원 씀 ㅋㅋ이럴거면 뷔페 갈걸 했지만 넓은 좌석에서 눈치안보며 3시간을 수다떨기엔 더할나위 없음 담번엔 조금만 시켜야지ㅜ
95_3_12,95_3,95,12,"날씨 맑은 토요일 오후~ 사람 무진장 많아요 거의 만석!!
쫌만 늦게 갔으면 자리 못잡을뻔했어요
매장이 넓어서 사람이 많아도 그렇게 소란스럽지 않아서 좋은거같아요.
밤티라미슈, 라떼와 함께 햇살을 즐기고갑니다🌰☀️"
95_3_13,95_3,95,13,"스퀘어81에서 독서모임 진행했어요~일산에선 가장 큰 카페이지 않을까 싶어요
가격대가 조금 나가는 거 빼곤 다 좋아요~잘 있다 갑니다!"
95_3_14,95_3,95,14,"뷰도 좋고 자리넓어서 대화하기도 좋아요 공부하기 좋은자리도 많아요~
주차자리는 협소해서 아쉬워요"
95_3_15,95_3,95,15,커피 넘 맛있고 저번에 소금빵 먹었는데 전자레인지에 데우니 따끈 쫠깃 했습니다! 주엽쪽 대형 카페가 있어서 자주 오기 좋아요!
95_3_16,95_3,95,16,놀러나갓다 마지막 코스 날씨조앗던날
95_3_17,95_3,95,17,빙수 굿
95_3_18,95_3,95,18,커피 못마시는 저에게 여기 매장 쉐이크는 완전 강추. 짱 맛있어요. 쉐이크메뉴 꼭 드셔보세요 🫠❤️❤️🙏🏻.
95_3_19,95_3,95,19,굿
95_3_20,95_3,95,20,"미리 예약하고 모임했는데요, 모임하기도 딱 좋고 베이커리, 맛있는 음료수도 많아서 즐거운 시간을 보냈습니다 :)"
95_3_21,95_3,95,21,"매주 일요일마다 여기서 독서모임진행하는데 가격이 좀 부담되는 것 말곤 매장이 넓어서 좋습니다.

커피는 고소해서 맛있어요! 음료도 빨리 나와서 좋은 것 같네요"
95_3_22,95_3,95,22,"밤티라미수🌰 꼭 드셔보세요!!! 밤맛 디저트에서 바밤바 맛이 안나는 밤맛은 처음이에요.
자리 편하고 늦게까지 영업해서 편하고 조용해서 좋고~~"
95_3_23,95_3,95,23,"엄청 넓음 ㅋㅋ 공부하는 공간, 수다떨 공간, 조용하게 대화할 공간 등이 다양하게 구비되어있어서 목적에 맞게 방문이 가능함 식사메뉴 커피 빵 다양하게 먹었는데 다들 보통 정도는 했음"
95_3_24,95_3,95,24,"빵 맛있고 넓어서 대화하기도 좋아요 지하연결되어서 비오는날 좋아요
주차장도 넓어서 편해요 !
++공부하기 최적합해요"
95_3_25,95_3,95,25,"녹차라떼 적당히 맛있음
매장 넓어서 좋음
어느 직원은 보통 어느 직원 띠껍"
95_3_26,95_3,95,26,혼자 노트북 공부 하기도 좋고 넓고 브런치 빵 케이크 종류도 다양해서 좋아요
95_3_27,95_3,95,27,지인들과 즐거운 시간 보내고 왔네요^^
95_3_28,95_3,95,28,"얼그레이오렌지 케이크, 아메리카노, 81스퀘어라떼,
엄청 넓고 다양한 좌석에 카페 내에서 다양한 컨셉이 공존해 매력적이었어요!
분위기 좋고 대화하기도 좋네요"
95_3_29,95_3,95,29,"일산에 이런 멋진 대형카페가 있는지 몰랐어요
통창으로 멋진 광경 오래오래 보고 잘 쉬고
힐링했어요 추천"
95_3_30,95_3,95,30,브런치 식사 메뉴 모두 맛있네요! 오랜만에 친구들과 맛있는 것도 먹고 공간이 넓어서 아이도 즐거워했어요. ㅎㅎㅎ
95_4_1,95_4,95,1,"여기 유모차 끌고 가기 좋은 진짜 베스트 맛집이에요. 🩷

리코타치즈 카프레제 샐러드랑
관자 명란 오일파스타
옥수수 크림 뇨끼 시켰는데 다 전부 맛있었어요.

테이블 간격이 약간 가까운 거 빼고는 정말 좋아요.

음식도 빨리 나오고 직원들도 정말 친절 하십니다.

무엇보다 유모차 들어갈 수 있는 공간을 찾기가 쉽지 않은데 유모차 끌고 갈 수 있는 맛집이라 너무 좋아요.

남편이랑 진짜 즐거운 데이트했어요.🩷
파스타도 맛있고 샐러드도 맛있어요. 양도 많은 편이에요.

앞으로도 자주 자주 방문 할 것 같아요. 조동 모임으로도 문센 모임 으로도 정말 최고입니다.🥺🫶🏼🩷"
95_4_2,95_4,95,2,"💛분위기 맛집, 뇨끼맛집!
💛아기자기한 분위기 넘예
💛주차 지원 가능

저희는 이날 고구마 뇨끼에
머쉬룸 크림 파스타 픽!

쫀득하면서 은근히 달달한 고구마 뇨끼가
풍미있는 크림과 어우러지는 맛이
넘 맛스럽구용

튼실한 새우가 들어간
머쉬룸 크림 파스타도
먹으면 먹을수록 손이가는
꼬수운 맛이었어용💗

둘다 크림이라 조합이 맞을까 싶었는데
각자 매력이 있어서 요렇게 먹어도
잘어울렸어용✨️"
95_4_3,95_4,95,3,넘넘 맛있어요 특이한 메뉴가 있어서 하나씩 시켜보는 재미가 있어요💛 옥수수뇨끼 달달한게 디저트 먹는거 같아요 달달해서 너뮤 입맛을 돋궈주네여 감태리조또는 보양식 같아여 넘 마시써여!!! 관자도 짱크고 또 오고싶어여
95_4_4,95_4,95,4,"관자명란파스타 진짜 대박이에요!
관자도 큼직하고 탱글탱글~ 명란이랑 오일이랑 조합이 딱 좋았어요. 느끼하지도 않고요!

스테이크도 완전 부드럽고 촉촉했어요.
익힘도 잘 맞고, 같이 나온 채소까지 싹 다 맛있게 먹었네요ㅎㅎ

분위기도 깔끔하고 직원분도 친절해서 기분 좋게 식사했어요 :)
다음엔 가족이랑 또 올게요~"
95_4_5,95_4,95,5,"현대백화점 자주 오는데 “5층”에 이렇게 쾌적하고 맛있는 음식점이 있는 줄 몰랐네요!
브런치라고 적혀있지만 저녁시간대에 와서 가족들이랑 제 생일 기념으로 필리치즈 스테이크, 관자파스타, 카프레제 샐러드, 감자라자냐 등 시켜서 먹었어요
매장 분위기가 “아기자기”하고 주변이 “조용해서” 가족들이랑 밥 먹기 좋았습니다!
메뉴 구성도 알차고 맛도 훌륭해요 특히 관자 오일파스타가 정말 요물입니다.. 🍀 쫄깃하고 탱글한 식감이 일품이에요 꼭꼭 시켜서 드셔보세요!!
현대백화점 지하 1층, 8층식당가에 딱히 끌리는 게 없고 깔끔한 양식 드시고 싶다! 싶으시면 하우스플랜 기억해두세요 데이트 코스나 여자분들끼리 오셔도 좋겠네요 :)"
95_4_6,95_4,95,6,"진짜 맛있어요 옆에 유아 휴게실도 있고 유모차 주차도 할수있을정도로 테이블끼리 간격도 넓고 조동모임이나
문센모임하기에 너무 좋습니다!
친절하시구 음식도 가성비 너무 좋아요
엄청 맛있습니다!🩷🩷"
95_4_7,95_4,95,7,"아이가 좋아하는 관자 파스타가 있다고 해서 들렀어요. 인테리어도 너무 깔끔하고 친절해서 좋네요.
고구마뇨끼도 달콤하니 맛있어요. 양이 살짝 아쉽긴 한데 맛은 좋아요. 즐겁게 식사했어요."
95_4_8,95_4,95,8,"하우스플랜 현대백화점킨텍스점...
여자 세명이서 배부르게
맛나게 먹고 왔어요
백화점 한쪽에 있는 매장이라
깔끔하고 유리창으로 야외도 보여서
개방감있고 좋아요
브런치하기에 딱 좋네요~^^"
95_4_9,95_4,95,9,음식 깔끔하고 맛있어요 남편이랑 같이 맛있게 먹으며 좋은 시간 보냈습니다
95_4_10,95_4,95,10,너무 맛있어요~~ 역시 베스트 메뉴네요!! 주문이 밀려서 조금 늦게 나오긴 했지만 충분히 기다릴만한 가치가 있네요🥹 맛있습니다!! 다음에 또올게요~~
